"dilfactor","Interaction_presence","Interaction_value","Interaction_sign","Mutual_interactions","Number of iterations","Number of dilution cycles","Fixation_threshold","group_success_rate","success_rate","shannons","group_extinctions"
0.05,1,1,1,FALSE,100,200,0.5,"0;0;0",0,"3.48754270277982;3.48743620620714;3.51706968689616","0;0;0"
0.05,0.1,1,1,FALSE,100,200,0.5,"0;0;0",0,"3.29199100272401;3.29232156171992;3.32123068353202","0;0;0"
0.05,0.01,1,1,FALSE,100,200,0.5,"0.99;1;1",0.99,"0.645794034116293;0.819173944980181;0.841384595015676","0;0;0"
0.05,0.1,1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.817217453776009;0.796207510342582;0.965595139824322","0;0;0"
0.05,0.01,1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.887340743288451;0.87174524780221;0.968485456752239","0;0;0"
0.05,1,1,2,FALSE,100,200,0.5,"0;0;0",0,"2.52725364135014;2.54532467456572;2.56309303096903","0;0;0"
0.05,0.1,1,2,FALSE,100,200,0.5,"0.05;0.06;0.05",0.04,"2.07708312828233;2.06821617451928;2.11330258464076","0;0;0"
0.05,0.01,1,2,FALSE,100,200,0.5,"1;1;1",1,"0.766361071834917;0.777860026460549;0.621332339853001","0;0;0"
0.05,1,0.1,1,FALSE,100,200,0.5,"0;0;0",0,"3.48557297129938;3.48595405058628;3.51481066068157","0;0;0"
0.05,0.1,0.1,1,FALSE,100,200,0.5,"0;0;0",0,"3.2402396094574;3.25444534716625;3.27752196400668","0;0;0"
0.05,0.01,0.1,1,FALSE,100,200,0.5,"0.99;1;0.99",0.98,"0.868507711787877;0.803106121221791;0.870701905795276","0;0;0"
0.05,1,0.1,-1,FALSE,100,200,0.5,"0.93;1;0.94",0.87,"0.302909268439517;0.345502756014052;0.432508195188987","0.07;0;0.06"
0.05,0.1,0.1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.940435558099522;0.795915417329811;0.949626813210743","0;0;0"
0.05,0.01,0.1,-1,FALSE,100,200,0.5,"1;1;1",1,"0.908475732444466;0.854821313441667;0.998315750086719","0;0;0"
