"dilfactor","Interaction_presence","Interaction_value","Interaction_sign","Mutual_interactions","Number of iterations","Number of dilution cycles","Fixation_threshold","group_success_rate","success_rate","shannons","group_extinctions"
0.1,1,1,1,FALSE,100,200,0.5,"0;0;0;0;0;0;0;0;0;0",0,"2.29253864995858;0;2.29218270539919;2.29003345510447;2.2904338407863;2.29147265491417;2.29214822869597;2.29089879146139;2.28997815005556;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,1,1,FALSE,100,200,0.5,"0;0;0;0.01;0;0;0;0;0.01;0",0,"2.04336632128357;0;2.00416170245008;2.0212202159072;2.00554493167738;2.00918028425201;2.01665025713793;2.02417210012938;2.02885086668375;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,1,1,FALSE,100,200,0.5,"0.94;0;0.99;0.98;0.99;1;1;1;1;0",0,"0.326166877030222;0;0.187008028925168;0.108134927495325;0.10608142541615;0.0544065839788622;0.0736844995541965;0.0322034009325716;0.0301247812460761;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,1,-1,FALSE,100,200,0.5,"0.76;0.22;0.87;0.82;0.97;0.7;0.87;0.89;0.78;0.55",0.22,"0.0864627254572818;0.117689276035269;0.118887889291815;0.0698842432398726;0.0888556975799387;0.0179889066469962;0.0804052306615103;0.0700762888074958;0.0489724711864051;0.0752662388485693","0.24;0.78;0.11;0.18;0.03;0.3;0.13;0.11;0.22;0.45"
0.1,0.01,1,-1,FALSE,100,200,0.5,"0.96;0;0.97;0.98;0.99;1;1;1;1;0",0,"0.519697781369007;0;0.38282519091832;0.24357370253822;0.223293097460283;0.116046692436374;0.057808892620208;0.00383324357319655;0;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,1,2,FALSE,100,200,0.5,"0.18;0;0.19;0.21;0.17;0.24;0.17;0.19;0.23;0",0,"1.3453331689528;0;1.39138582855227;1.35741735216138;1.37122898904387;1.33531119332611;1.39384583824146;1.40262444572229;1.30775003701289;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,1,2,FALSE,100,200,0.5,"0.68;0;0.64;0.69;0.62;0.65;0.72;0.61;0.73;0",0,"0.8846959484881;0;0.867216864877333;0.867186627364849;0.940528667714177;0.874268335962659;0.773513857178687;0.871052370024606;0.817495394854764;0","0;1;0;0;0;0;0;0.01;0;1"
0.1,0.01,1,2,FALSE,100,200,0.5,"0.89;0;0.98;0.99;0.99;1;1;1;1;0",0,"0.382320684057328;0;0.262908287814339;0.206070162648891;0.132759506359697;0.0495764284945733;0.0311629405947117;0.0138587961112855;0.01007941270905;0","0;1;0;0;0;0;0;0;0;1"
0.1,1,0.1,1,FALSE,100,200,0.5,"0;0;0;0;0;0;0;0;0;0",0,"2.29151853802012;0;2.29017252335971;2.29038002784637;2.29129666436785;2.29081426020368;2.29215620275249;2.29157928673041;2.29043226989921;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.1,1,FALSE,100,200,0.5,"0;0;0;0;0.01;0;0;0;0;0",0,"2.00118757755374;0;1.98761974189645;1.98271187768984;1.98945439333369;1.98779276768616;1.992156621355;1.99815977991648;2.0348447170286;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.01,0.1,1,FALSE,100,200,0.5,"0.95;0;0.97;0.98;1;1;0.99;1;1;0",0,"0.328945884728011;0;0.271549843041707;0.205045677213163;0.0971655328871906;0.0856605670117584;0.0736143484749171;0.039494111858534;0.0421293225824426;0","0;1;0;0;0;0;0;0;0;1"
0.1,0.1,0.1,-1,FALSE,100,200,0.5,"0.98;0.02;0.99;1;1;1;1;1;0.98;0.02",0.02,"0.368085677856807;0.0138629436111989;0.276730689940775;0.124732095541979;0.0898561370976395;0.0491654555984009;0.0304200221843819;0.00604407799299986;0.0173891909547425;0.00164573370938202","0;0.98;0;0;0;0;0;0;0.02;0.98"
